Warning                                            Type                                          Event                                                                      Group            Date       Hours      Minutes    Seconds    
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     19/12/08          1         54         49
                                                   [Incoming warning]                            Overvoltage input A (SW) (3401)                                            DC Side             19/12/08         19         57         42
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     19/12/08         19         57         43
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     17/01/09         17         46         45
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     01/11/09          1         53         22
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     18/02/10         16         10          0
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     18/02/10         16         15         19
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     22/06/10          6         57         32
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     22/06/10          6         57         33
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     22/06/10          6         57         33
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     22/06/10          6         57         34
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     22/06/10          6         57         37
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     28/07/10          0         42         51
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     28/07/10          0         44          4
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     28/07/10          0         44         10
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     08/11/10          0         33         26
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     08/11/10          0         34         29
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     08/11/10          0         41          0
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     08/11/10          0         53         22
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     08/11/10          1          4         47
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     13/11/10         19         43         18
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     23/03/11          6         29         19
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     17/04/11          6          7         47
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     17/04/11          6          7         48
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     17/04/11          6          7         48
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     17/04/11          6          7         49
                                                   [Incoming warning]                            Overvoltage input A (SW) (3401)                                            DC Side             21/05/11          0         50         38
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     21/05/11          0         51         52
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     21/05/11          0         58         28
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     21/05/11          1          8          7
                                                   [Incoming warning]                            Overvoltage input A (SW) (3401)                                            DC Side             23/05/11          1         30         32
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     23/05/11          1         31         46
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     23/05/11          1         38         23
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     23/05/11          1         50         46
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     23/05/11          4         21          7
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     05/08/11          2         30         34
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     05/08/11          2         30         35
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     05/08/11          2         30         36
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     05/08/11          2         30         37
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     05/08/11          2         30         40
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     05/08/11          2         31         46
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     05/08/11          2         38         20
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     05/08/11          2         50         43
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     05/08/11          3          0         49
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     24/10/11          2         36         58
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     24/10/11          2         36         59
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     24/10/11          2         37          0
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     24/10/11          2         37          1
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     24/10/11          2         37          5
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     24/10/11          2         38         13
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     24/10/11          2         44         49
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     24/10/11          2         50         25
                                                   [Incoming information ]                       Grid overvoltage slow (103)                                                Grid Monitoring     23/12/11          0         53         29
                                                   [Incoming information ]                       Grid overvoltage slow (103)                                                Grid Monitoring     23/12/11          0         53         30
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     01/03/12          2         27         45
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     01/03/12          2         27         51
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     01/03/12          2         28         59
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     01/03/12          2         30         58
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     04/06/12          7         16         19
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     11/10/12          2         52          9
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     11/10/12          3         23         22
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     31/01/13          4          6         24
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     31/01/13          4          6         25
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     11/03/13          4         27         50
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     11/03/13          4         27         56
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     11/04/13          3         59         27
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     08/06/13         21         53         50
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     08/06/13         21         53         56
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     08/06/13         21         55          4
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     08/06/13         22          1         38
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     08/06/13         22         13         52
                                                   [Incoming information ]                       Grid overvoltage slow (103)                                                Grid Monitoring     08/06/13         22         15         42
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     08/06/13         22         15         48
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     08/06/13         22         16         50
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     08/06/13         22         30         26
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     14/03/14         15         34         12
                                                   [Incoming warning]                            Grid undervoltage slow (203)                                               Grid Monitoring     14/03/14         15         34         59
                                                   [Incoming error]                              Grid undervoltage slow (203)                                               Grid Monitoring     14/03/14         15         35         32
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     14/03/14         20          8          6
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     25/03/14         15          7          2
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     25/03/14         15          7         40
                                                   [Incoming error]                              Insulation failure (3501)                                                  DC Side             14/06/14          3         58          0
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     08/10/14         20          7         38
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     12/03/15          6          0         39
                                                   [Incoming warning]                            Overvoltage input A (SW) (3401)                                            DC Side             25/03/15          0         44         12
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              25/05/15          7         24         36
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              25/05/15         16         39         45
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              25/05/15         16         46         42
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              26/05/15          7         10          4
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              26/05/15         16         47         52
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              26/05/15         16         54         50
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              27/05/15          7         28         28
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              27/05/15         16         35         42
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              27/05/15         16         42         37
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              28/05/15          7         26         17
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              28/05/15         16         21         53
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              28/05/15         16         28         52
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              29/05/15          7         22         32
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              29/05/15         16         31         30
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              29/05/15         16         38         27
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              30/05/15          7         21         41
                                                   [Incoming information ]                       Waiting for DC start conditions (39)                                       DC Side             30/05/15         17         18         15
                                                   [Outgoing information ]                       Waiting for DC start conditions (39)                                       DC Side             30/05/15         17         18         19
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              30/05/15         17         21         46
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              30/05/15         17         28         45
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              31/05/15          7         21         49
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              31/05/15         16         45         54
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              31/05/15         16         52         51
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              31/05/15         17          3         54
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              31/05/15         17         21         57
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              01/06/15          7         24         48
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              01/06/15         16         37          8
[Fault! Please contact installer.]                 [Incoming error]                              Interference device (64)                                                   Device              01/06/15         16         44          8
                                                   [Outgoing information ]                       Interference device (64)                                                   Device              02/06/15          7          7         17
                                                   [Incoming warning]                            Self-diagnosis (64)                                                        Device              02/06/15         16         27         33
